,Electricity Price,Wind Power,Solar Power,HPP Power,Curtailed Power,Battery SOC,Battery Power
2653,34.275,25.79337858763755,111.91512327023962,126.28718206092285,0.0,93.74999999999997,-11.421319796954322
2654,35.464,29.368621510813206,98.58230249821756,116.52960421207644,0.0,104.99999999999997,-11.421319796954318
2655,40.065,30.537734296747246,74.20106373836765,93.31747823816059,0.0,116.24999999999999,-11.421319796954315
2656,51.176,21.262575274052175,46.49571464558559,56.33697012268347,0.0,127.5,-11.421319796954307
2657,54.251,8.357768467644865,19.240974439979325,16.177423110669885,0.0,138.75,-11.421319796954307
2658,66.172,6.03845087154987,3.5424416045046483,58.830892476054515,0.0,150.0,49.25
2659,57.925,5.941512527949646,0.0,55.19151252794965,0.0,100.0,49.25
2660,55.869,0.0,0.0,34.47500000000004,0.0,50.0,34.47500000000004
2661,54.251,7.519927392961664,0.0,7.519927392961664,0.0,14.999999999999972,0.0
2662,53.567,15.202308250769537,0.0,15.202308250769537,0.0,14.999999999999972,0.0
2663,53.567,16.549664983491976,0.0,13.878011229818451,0.0,14.999999999999972,-2.671653753673524
2664,48.077,8.887210219821693,0.0,6.215556466148168,0.0,17.631578947368393,-2.671653753673524
2665,48.077,18.149967936448647,0.0,15.478314182775122,0.0,20.263157894736814,-2.671653753673524
2666,48.077,28.852851566560535,0.0,26.18119781288701,0.0,22.89473684210524,-2.6716537536735236
2667,48.077,25.066494100858947,0.0,22.394840347185422,0.0,25.52631578947367,-2.671653753673523
2668,48.077,26.026198736014592,0.0,23.354544982341068,0.0,28.157894736842096,-2.671653753673523
2669,48.077,49.01683803236893,2.4339455569839092,48.77912983567931,0.0,30.789473684210506,-2.6716537536735228
2670,48.077,47.58814661055937,12.440444680335277,57.35693753722112,0.0,33.42105263157893,-2.671653753673523
2671,48.077,46.041134758141794,23.485565902637124,66.85504690710539,0.0,36.05263157894734,-2.6716537536735236
2672,36.587,48.98957828564033,39.423168369728174,85.74109290169497,0.0,38.68421052631576,-2.6716537536735236
2673,34.982,53.14848791143305,84.85455454770509,135.33138870546463,0.0,41.31578947368418,-2.6716537536735236
2674,33.844,38.23483171330228,130.54519428647578,166.10837224610452,0.0,43.9473684210526,-2.6716537536735228
2675,33.844,26.782281950642933,130.0548306874017,154.1654588843711,0.0,46.57894736842103,-2.6716537536735236
2676,33.844,40.752169006492366,114.03493556188377,152.11545081470263,0.0,49.210526315789444,-2.6716537536735245
2677,33.844,32.153154317903926,96.00812608550656,125.48962664973698,0.0,51.84210526315786,-2.6716537536735245
2678,34.47,42.93706002419908,76.40225289229988,116.66765916282543,0.0,54.47368421052629,-2.6716537536735228
2679,37.235,35.4901417468605,63.606445964062665,96.42493395724964,0.0,57.10526315789471,-2.6716537536735245
2680,48.077,25.84934143993401,47.408950540380566,70.58663822664104,0.0,59.73684210526313,-2.671653753673521
2681,49.836,11.494362159373036,19.778625294038257,28.601333699737772,0.0,62.368421052631554,-2.671653753673521
2682,68.572,3.1629997347145755,3.4171463508893107,55.830146085603886,0.0,64.99999999999997,49.25
2683,64.522,5.770165936620556,0.0,5.770165936620556,0.0,14.999999999999972,0.0
2684,50.355,18.14832911958672,0.0,12.437669221109559,0.0,14.999999999999972,-5.710659898477161
2685,48.077,30.717581667029528,0.0,25.006921768552367,0.0,20.624999999999975,-5.710659898477161
2686,48.077,17.84841329960846,0.0,12.137753401131299,0.0,26.249999999999986,-5.710659898477161
2687,48.077,20.351092403443005,0.0,14.640432504965844,0.0,31.874999999999986,-5.710659898477161
2688,43.02,44.24735730349225,0.0,38.53669740501509,0.0,37.499999999999986,-5.710659898477161
2689,43.02,52.16457840802697,0.0,46.45391850954981,0.0,43.124999999999986,-5.710659898477161
2690,43.02,45.058368335081035,0.0,39.347708436603874,0.0,48.749999999999986,-5.710659898477161
2691,43.02,70.60954424385064,0.0,64.89888434537347,0.0,54.375000000000014,-5.710659898477161
2692,43.02,56.66209593222067,0.0,50.95143603374351,0.0,60.000000000000014,-5.71065989847716
2693,43.02,33.35066623134713,2.413893543625958,30.053899876495926,0.0,65.62500000000001,-5.710659898477159
2694,43.02,56.84892819199255,14.305276166200665,65.44354445971605,0.0,71.25000000000001,-5.71065989847716
2695,36.926,58.54842108535114,35.22489408100526,88.06265526787924,0.0,76.875,-5.71065989847716
2696,34.158,68.52313412142122,63.44119476318312,126.2536689861272,0.0,82.5,-5.710659898477161
2697,31.771,85.45943123946684,90.34848943369246,170.09726077468213,0.0,88.12499999999999,-5.710659898477159
2698,26.64,108.03924587206491,122.83599893299713,225.16458490658488,0.0,93.74999999999997,-5.710659898477161
2699,24.79,76.30334356483061,139.22493074664314,209.8176144129966,0.0,99.37499999999996,-5.710659898477161
2700,24.79,69.55652658757009,127.21075517188876,191.0566218609817,0.0,104.99999999999996,-5.710659898477161
2701,25.529,81.09822960310268,114.8819701848011,190.26953988942662,0.0,110.62499999999997,-5.710659898477161
2702,32.133,84.98324241805088,100.43118375655082,179.70376627612455,0.0,116.24999999999997,-5.710659898477161
2703,34.543,51.731645313571,82.63864862183607,128.6596340369299,0.0,121.87499999999997,-5.710659898477164
2704,38.0,50.735340144380274,54.4975522575982,99.52223250350131,0.0,127.49999999999997,-5.710659898477161
2705,43.704,48.57996866982393,19.7202984947599,62.589607266106675,0.0,133.125,-5.710659898477154
2706,49.442,49.70935338744413,3.607864663987866,47.606558152954854,0.0,138.75,-5.710659898477147
